iter , error
1 , 0.08995128923652415
2 , 0.043016635023681846
3 , 0.028559116865755508
4 , 0.021184197836491964
5 , 0.016593049960256716
6 , 0.013333874552924755
7 , 0.011023877404588052
8 , 0.009339591717579237
9 , 0.008044760499836824
10 , 0.007018421624621331
11 , 0.006182663718205198
12 , 0.00548067192922639
13 , 0.004865801874646831
14 , 0.00429291346724463
15 , 0.0037326125255896354
16 , 0.0032488786348156312
17 , 0.002890360508089554
18 , 0.0026073784854198524
19 , 0.0023750799266874585
20 , 0.002181402484751605
21 , 0.002016782061770961
22 , 0.001876267943782497
23 , 0.001754143905329103
24 , 0.0016483758904336072
25 , 0.0015547007717151174
26 , 0.0014727759201334956
27 , 0.0013988959299133339
28 , 0.001333941124358471
29 , 0.0012742493959545607
30 , 0.0012217454907030864
31 , 0.0011724797102464525
32 , 0.0011293662126400342
33 , 0.001087933936611669
34 , 0.0010520829599034954
35 , 0.00101665887667852
36 , 0.0009865480964113592
37 , 0.0009558218459329125
38 , 0.0009303179893913761
39 , 0.0009033268417401048
40 , 0.0008815334393284146
41 , 0.0008575458919889204
42 , 0.0008386993000556308
43 , 0.0008171406364584371
44 , 0.0008005625154726821
45 , 0.0007809878946948613
46 , 0.000766102728725043
47 , 0.000748208491864416
48 , 0.0007345950229741146
49 , 0.000718221667569935
50 , 0.0007056300928186985
51 , 0.0006907128818949975
52 , 0.0006790161381743753
53 , 0.000665503392558622
54 , 0.0006546245069431543
55 , 0.0006424226677781821
56 , 0.0006322904720372888
57 , 0.0006212600011923697
58 , 0.0006118005039531471
59 , 0.0006017810842064116
60 , 0.0005929240623413303
61 , 0.0005837609105179574
62 , 0.0005754457649219996
63 , 0.0005670046934081166
64 , 0.0005591814884386785
65 , 0.0005513531621875568
66 , 0.0005439805697010262
67 , 0.0005366785098621216
68 , 0.0005297210370087244
69 , 0.0005228773031563034
70 , 0.0005163031397633067
71 , 0.0005098639084620566
72 , 0.0005036437205715257
73 , 0.0004975656335814807
74 , 0.0004916720932179326
75 , 0.00048591951907852557
76 , 0.0004803272262203115
77 , 0.00047487029518266316
78 , 0.00046955582262367537
79 , 0.0004643690395976065
80 , 0.0004593109567811988
81 , 0.00045437222438835705
82 , 0.00044955105348300906
83 , 0.0004448409795538186
84 , 0.0004402390889394019
85 , 0.0004357404887112393
86 , 0.00043134194693309505
87 , 0.0004270394772385274
88 , 0.0004228298904740251
89 , 0.00041870977307450975
90 , 0.0004146761227479842
91 , 0.000410725928319358
92 , 0.00040685641860490663
93 , 0.0004030648928896824
94 , 0.00039934881260644643
95 , 0.00039570573290765226
96 , 0.0003921333330100962
97 , 0.00038862938743119887
98 , 0.00038519177350840013
99 , 0.0003818184579351363
100 , 0.0003785074963292384
101 , 0.0003752570257092176
102 , 0.0003720652616193725
103 , 0.00036893049304181317
104 , 0.00036585107901590243
105 , 0.00036282544468854114
106 , 0.0003598520780583646
107 , 0.00035692952667417045
108 , 0.00035405639467655885
109 , 0.0003512313399436183
110 , 0.0003484530714516249
111 , 0.00034572034677067087
112 , 0.0003430319697211367
113 , 0.00034038678816076314
114 , 0.0003377836919036579
115 , 0.0003352216107568128
116 , 0.0003326995126691336
117 , 0.00033021640198401333
118 , 0.00032777131778939075
119 , 0.00032536333235856955
120 , 0.00032299154967613145
121 , 0.00032065510404340647
122 , 0.0003183531587585287
123 , 0.0003160849048663458
124 , 0.00031384955997390725
125 , 0.0003116463671274577
126 , 0.0003094745937471835
127 , 0.0003073335306162788
128 , 0.00030522249092101463
129 , 0.00030314080933884006
130 , 0.0003010878411716804
131 , 0.00029906296152179437
132 , 0.00029706556450774475
133 , 0.00029509506251819753
134 , 0.0002931508855013956
135 , 0.000291232480288301
136 , 0.00028933930994755515
137 , 0.0002874708531704707
138 , 0.00028562660368443624
139 , 0.0002838060696931804
140 , 0.00028200877334245636
141 , 0.0002802342502097925
142 , 0.0002784820488170189
143 , 0.0002767517301644028
144 , 0.00027504286728525726
145 , 0.0002733550448199391
146 , 0.0002716878586083033
147 , 0.00027004091529960194
148 , 0.00026841383197901715
149 , 0.00026680623580995096
150 , 0.00026521776369130425
151 , 0.00026364806192901244
152 , 0.00026209678592112795
153 , 0.0002605635998558114
154 , 0.0002590481764215824
155 , 0.00025755019652927164
156 , 0.0002560693490451018
157 , 0.00025460533053437714
158 , 0.0002531578450152933
159 , 0.00025172660372237637
160 , 0.0002503113248791415
161 , 0.0002489117334795093
162 , 0.000247527561077614
163 , 0.00024615854558560925
164 , 0.0002448044310791099
165 , 0.00024346496760994335
166 , 0.0002421399110258783
167 , 0.00024082902279701378
168 , 0.00023953206984856794
169 , 0.00023824882439975887
170 , 0.0002369790638085234
171 , 0.00023572257042184353
172 , 0.00023447913143140412
173 , 0.00023324853873440014
174 , 0.00023203058879924554
175 , 0.00023082508253598294
176 , 0.0002296318251712253
177 , 0.00022845062612740754
178 , 0.00022728129890620024
179 , 0.00022612366097588902
180 , 0.00022497753366260134
181 , 0.00022384274204516943
182 , 0.00022271911485353992
183 , 0.00022160648437054834
184 , 0.0002205046863369532
185 , 0.0002194135598595844
186 , 0.0002183329473224944
187 , 0.00021726269430099256
188 , 0.00021620264947845054
189 , 0.00021515266456578012
190 , 0.00021411259422346698
191 , 0.00021308229598608738
192 , 0.00021206163018918373
193 , 0.00021105045989843892
194 , 0.00021004865084105724
195 , 0.00020905607133924755
