iter , error
1 , 0.0971454579968084
2 , 0.05290404039228535
3 , 0.035497380116310304
4 , 0.02363847701838387
5 , 0.017024409975174844
6 , 0.01272910685224916
7 , 0.009065864217510553
8 , 0.006453776673419152
9 , 0.005218618362160805
10 , 0.004427483635345596
11 , 0.0038495416992597622
12 , 0.0033736411338122106
13 , 0.002979855290357056
14 , 0.0026528359425889393
15 , 0.0024041647789971457
16 , 0.0022055486395251163
17 , 0.0020502439544729536
18 , 0.0019343435146787675
19 , 0.0018803139556446797
20 , 0.0019458061513671263
21 , 0.001808343657746141
22 , 0.0017174254389451513
23 , 0.001632594530136525
24 , 0.0016474166280572922
25 , 0.0018171017402122572
26 , 0.0017400554543400759
27 , 0.0018302211152145481
28 , 0.0016141658472282742
29 , 0.001666223430426636
30 , 0.001552549228161465
31 , 0.0015732450494597048
32 , 0.0014696502232167657
33 , 0.001429740917201638
34 , 0.0013795868737414827
35 , 0.00132725645630595
36 , 0.0013046725880351522
37 , 0.0012660230270884472
38 , 0.0012574040719990562
39 , 0.0012332577921209547
40 , 0.0012285490302865812
41 , 0.0012122670954943001
42 , 0.0012081329346942105
43 , 0.0011958805419025986
44 , 0.0011916668126260963
45 , 0.0011816786880907357
46 , 0.0011773597226272562
47 , 0.001168768314371249
48 , 0.0011644064869983813
49 , 0.001156734468923429
50 , 0.0011523776890450437
51 , 0.0011453360376855186
52 , 0.0011410113232368524
53 , 0.0011344130053541424
54 , 0.001130135978094351
55 , 0.00112385588482384
56 , 0.001119640561960335
57 , 0.0011135960962363161
58 , 0.0011094632276868709
59 , 0.001103605196628166
60 , 0.0010995896748302247
61 , 0.0010938985107950758
62 , 0.0010900558649834208
63 , 0.0010845394875257496
64 , 0.0010809496915038224
65 , 0.001075638156511598
66 , 0.0010724020354811337
67 , 0.0010673315019036074
68 , 0.0010645522983017775
69 , 0.0010597302378128858
70 , 0.0010574760340009146
71 , 0.0010528293413620867
72 , 0.0010510899841549449
73 , 0.0010464233515937982
74 , 0.0010451029603474062
75 , 0.0010401140466834563
76 , 0.0010390950376215813
77 , 0.001033457015917964
78 , 0.001032703214073662
